RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_lgbm,prob_xgb,prob_mlp,prob_stacking,prob_final,top_3_fatores,faixa_risco,prob_experimental
RA-1028,Aluno-1028,1,Ametista,7.1404338602,0.8823,0.886,0.8662,0.8671,0.839,Defasagem(+0.57) | Idade(+0.30) | IAA_decile_fase(+0.14),Alto,0.9172
RA-873,Aluno-873,1,Ametista,7.61095,0.8887,0.8785,0.7642,0.7808,0.8274,Defasagem(+0.74) | Idade(+0.32) | IAA_decile_fase(+0.20),Alto,0.8801
RA-1554,Aluno-1554,3,Agata,6.941692592633334,0.8616,0.8498,0.8176,0.818,0.8243,Defasagem(+0.76) | Idade(+0.28) | age_fase_excess(+0.28),Alto,0.8208
RA-1596,Aluno-1596,4,Ametista,7.261016666766667,0.8644,0.8462,0.8598,0.8422,0.8239,Defasagem(+0.71) | Idade(+0.30) | age_fase_excess(+0.25),Alto,0.8469
RA-1199,Aluno-1199,5,Ametista,7.614235714266666,0.8185,0.8184,0.8613,0.836,0.8174,Defasagem(+0.86) | Ing(−0.26) | Idade(+0.22),Alto,0.7783
RA-767,Aluno-767,1,Topázio,8.131890476200002,0.8497,0.8707,0.8617,0.8537,0.8113,Defasagem(+0.54) | Idade(+0.24) | pedra_delta_2(+0.12),Alto,0.88
RA-146,Aluno-146,5,Topázio,8.134554885333333,0.8264,0.8251,0.8645,0.8387,0.8037,Defasagem(+0.79) | Ing(−0.21) | Idade(+0.20),Alto,0.7684
RA-397,Aluno-397,4,Agata,6.807291921866668,0.8636,0.8608,0.63,0.721,0.803,Defasagem(+0.75) | Ing(−0.29) | Idade(+0.22),Alto,0.8349
RA-1401,Aluno-1401,1,Topázio,8.1188277778,0.8186,0.841,0.7365,0.7485,0.801,Defasagem(+0.56) | Idade(+0.25) | age_fase_excess(+0.12),Alto,0.794
RA-1579,Aluno-1579,4,Ametista,7.894385710733333,0.8109,0.7444,0.8646,0.8036,0.7999,Defasagem(+0.79) | IPV_z_faseAno(+0.24) | Idade(+0.23),Alto,0.7423
RA-274,Aluno-274,5,Topázio,8.651029629666667,0.582,0.6501,0.4096,0.3118,0.7917,Defasagem(−0.43) | Ing(−0.17) | IPV(+0.17),Alto,0.5225
RA-180,Aluno-180,5,Topázio,8.801463636333335,0.7356,0.6857,0.8052,0.6785,0.7898,Defasagem(−0.31) | IPV(+0.24) | Idade(+0.18),Alto,0.5969
RA-944,Aluno-944,0,Ametista,7.8262,0.8059,0.8188,0.8426,0.7981,0.7842,Defasagem(+0.53) | Idade(+0.25) | gap_IAA_IEG(+0.12),Alto,0.7789
RA-1283,Aluno-1283,0,Topázio,8.3033538462,0.8257,0.8569,0.7002,0.713,0.7822,Defasagem(+0.51) | Idade(+0.24) | IPV(+0.14),Alto,0.8227
RA-1609,Aluno-1609,5,Ametista,7.577233333233334,0.8309,0.8021,0.8565,0.8001,0.78,Defasagem(+0.71) | Ing(−0.28) | Idade(+0.25),Alto,0.7853
RA-1443,Aluno-1443,1,Agata,6.921633333300001,0.8547,0.855,0.8419,0.8072,0.7753,Defasagem(+0.61) | Idade(+0.26) | age_fase_excess(+0.25),Alto,0.8292
RA-1587,Aluno-1587,4,Ametista,7.34055,0.842,0.8367,0.8592,0.824,0.7751,Defasagem(+0.60) | Idade(+0.28) | age_fase_excess(+0.25),Alto,0.8171
RA-116,Aluno-116,5,Agata,6.337470707133334,0.8455,0.8541,0.5408,0.6819,0.7748,Defasagem(+0.75) | Idade(+0.23) | age_fase_excess(+0.12),Alto,0.8404
RA-239,Aluno-239,4,Agata,6.782180868800001,0.8441,0.8462,0.8648,0.8463,0.7739,Defasagem(+0.66) | Idade(+0.27) | IPV(+0.12),Alto,0.8148
RA-1448,Aluno-1448,1,Ametista,7.466126406900001,0.8538,0.8252,0.8491,0.8215,0.772,Defasagem(+0.73) | Idade(+0.25) | age_fase_excess(+0.24),Alto,0.8192
RA-152,Aluno-152,5,Agata,6.5837938596,0.8596,0.856,0.801,0.7903,0.7688,Defasagem(+0.62) | Ing(−0.41) | Idade(+0.18),Alto,0.8198
RA-1612,Aluno-1612,5,Ametista,7.014528571366666,0.8534,0.8342,0.8241,0.8098,0.7668,Defasagem(+0.67) | Idade(+0.24) | age_fase_excess(+0.23),Alto,0.7964
RA-1566,Aluno-1566,4,Ametista,7.759243871133334,0.7546,0.6974,0.7783,0.7096,0.7663,Defasagem(+0.72) | Ing(−0.23) | Idade(+0.20),Alto,0.6231
RA-426,Aluno-426,4,Agata,6.6430030186,0.8603,0.8661,0.6296,0.7068,0.7658,Idade(+0.29) | IAA_decile_fase(+0.20) | age_fase_excess(+0.16),Alto,0.8691
RA-249,Aluno-249,4,Agata,6.125104328999999,0.8541,0.8664,0.8659,0.8542,0.7656,Defasagem(+0.46) | Idade(+0.24) | IAA_decile_fase(+0.21),Alto,0.8476
RA-1413,Aluno-1413,1,Ametista,7.747564718600001,0.8235,0.8531,0.7554,0.7473,0.7647,Defasagem(+0.70) | Idade(+0.27) | IPV(+0.18),Alto,0.8192
RA-829,Aluno-829,2,Topázio,9.171825000000002,0.8139,0.8204,0.8163,0.741,0.7645,Idade(+0.26) | IPV_z_faseAno(+0.23) | Defasagem(−0.18),Alto,0.8034
RA-1299,Aluno-1299,0,Ametista,7.069727777800001,0.8139,0.8121,0.6097,0.6507,0.7637,Defasagem(+0.79) | Idade(+0.22) | IPV(−0.17),Alto,0.7782
RA-749,Aluno-749,0,Topázio,8.3373184211,0.802,0.8128,0.8352,0.8171,0.7602,Defasagem(+0.59) | Idade(+0.24) | IPS_z_faseAno(+0.14),Alto,0.777
RA-750,Aluno-750,1,Quartzo,4.542230369,0.8532,0.8606,0.8577,0.8471,0.7599,Defasagem(+0.52) | Idade(+0.23) | IAA_decile_fase(+0.20),Alto,0.8401
RA-1542,Aluno-1542,3,Agata,6.0886079922,0.8533,0.8526,0.8632,0.8374,0.7596,Defasagem(+0.65) | Idade(+0.26) | age_fase_excess(+0.25),Alto,0.8284
RA-1438,Aluno-1438,1,Topázio,8.176825000000001,0.8287,0.8296,0.6936,0.6864,0.7585,Idade(+0.27) | gap_Por_Ing(+0.24) | IPV(+0.23),Alto,0.8345
RA-131,Aluno-131,5,Ametista,7.263155555633333,0.872,0.8545,0.7087,0.757,0.7572,Defasagem(+0.60) | Idade(+0.25) | age_fase_excess(+0.19),Alto,0.846
RA-688,Aluno-688,2,Topázio,8.986533333300002,0.8397,0.8207,0.852,0.7849,0.7545,Idade(+0.27) | IPV_z_faseAno(+0.22) | Defasagem(−0.20),Alto,0.8212
RA-1075,Aluno-1075,2,Agata,6.8100812324,0.8417,0.8403,0.8553,0.8297,0.7541,Idade(+0.28) | IAA_decile_fase(+0.22) | age_fase_excess(+0.21),Alto,0.8281
