RA,Fase,Pedra_atual,INDE_atual,prob_risk_defasagem_worsen,faixa_risco_alt
RA-767,1,Topázio,8.131890476200002,0.8746,Alto
RA-479,3,Topázio,8.901966666666668,0.8716,Alto
RA-578,3,Topázio,9.066199999966669,0.8669,Alto
RA-733,1,Topázio,8.808825,0.8665,Alto
RA-755,1,Topázio,8.925450000000001,0.8607,Alto
RA-988,1,Topázio,8.1765333333,0.8591,Alto
RA-826,1,Ametista,7.9442,0.8582,Alto
RA-831,1,Topázio,8.0066285715,0.8548,Alto
RA-894,1,Topázio,8.67895,0.8503,Alto
RA-873,1,Ametista,7.61095,0.8464,Alto
RA-418,4,Topázio,9.125183333366667,0.8441,Alto
RA-543,3,Topázio,8.0467871118,0.839,Alto
RA-1438,1,Topázio,8.176825000000001,0.8388,Alto
RA-749,0,Topázio,8.3373184211,0.8384,Alto
RA-795,1,Topázio,8.441414285700002,0.8355,Alto
RA-146,5,Topázio,8.134554885333333,0.8348,Alto
RA-718,2,Topázio,8.705811111100001,0.8342,Alto
RA-651,3,Topázio,8.689300000100001,0.833,Alto
RA-1057,1,Topázio,8.2352,0.8314,Alto
RA-1283,0,Topázio,8.3033538462,0.8311,Alto
RA-879,1,Topázio,8.1096318182,0.8284,Alto
RA-1028,1,Ametista,7.1404338602,0.8279,Alto
RA-1432,1,Topázio,8.774075000000002,0.8277,Alto
RA-735,2,Ametista,7.7888467391,0.8274,Alto
RA-753,1,Topázio,8.2450571429,0.8213,Alto
RA-601,1,Topázio,8.5107,0.8205,Alto
RA-850,1,Ametista,7.864245454500001,0.8184,Alto
RA-1350,0,Topázio,8.335450000000002,0.818,Alto
RA-1433,1,Topázio,8.1939895962,0.8174,Alto
RA-829,2,Topázio,9.171825000000002,0.8173,Alto
RA-1413,1,Ametista,7.747564718600001,0.8153,Alto
RA-1332,0,Topázio,8.1040529412,0.8066,Alto
RA-1294,0,Ametista,7.9493666666,0.8053,Alto
RA-944,0,Ametista,7.8262,0.8051,Alto
RA-438,2,Ametista,7.930283695700001,0.805,Alto
RA-1335,0,Topázio,8.3217,0.8039,Alto
RA-1001,1,Ametista,7.7964318841,0.8029,Alto
RA-1062,1,Ametista,7.6147238096,0.7971,Alto
RA-819,2,Topázio,8.652552484400001,0.7955,Alto
RA-1153,4,Topázio,8.268876190466667,0.7953,Alto
RA-898,1,Ametista,7.8661333334,0.7952,Alto
RA-503,3,Topázio,8.547495614066667,0.7952,Alto
RA-1406,1,Ametista,7.8186772727,0.7917,Alto
RA-157,5,Topázio,8.950566666733334,0.7916,Alto
RA-670,3,Topázio,8.8602539683,0.7915,Alto
RA-180,5,Topázio,8.801463636333335,0.7884,Alto
RA-1465,2,Ametista,7.3344666666,0.7884,Alto
RA-592,3,Ametista,7.121622213600001,0.7876,Alto
RA-1428,1,Topázio,8.006108496800001,0.7871,Alto
RA-1199,5,Ametista,7.614235714266666,0.785,Alto
RA-1056,1,Topázio,8.192009523800001,0.7825,Alto
RA-87,7,Topázio,9.437924561333332,0.782,Alto
RA-1178,5,Topázio,8.0934746032,0.7768,Alto
RA-810,1,Ametista,7.704770175400001,0.7737,Alto
RA-1453,2,Ametista,7.1234857143,0.7718,Alto
RA-590,2,Agata,6.712378053800001,0.7675,Alto
RA-1434,1,Topázio,8.2775982919,0.7663,Alto
RA-1025,1,Ametista,7.897071212,0.7622,Alto
RA-167,6,Topázio,8.033470175466666,0.756,Alto
RA-274,5,Topázio,8.651029629666667,0.7553,Alto
RA-1022,1,Ametista,7.613169697000002,0.7537,Alto
RA-966,0,Ametista,7.9943363636,0.7536,Alto
RA-1427,1,Topázio,8.425325,0.7529,Alto
RA-1151,4,Topázio,8.749111111066668,0.7518,Alto
RA-1579,4,Ametista,7.894385710733333,0.7487,Alto
RA-1621,5,Topázio,8.107033333366667,0.7439,Alto
RA-239,4,Agata,6.782180868800001,0.7436,Alto
RA-1596,4,Ametista,7.261016666766667,0.7405,Alto
RA-1058,1,Ametista,7.703347619,0.74,Alto
RA-874,1,Ametista,7.0235939394,0.7395,Alto
RA-1440,1,Ametista,7.469102691500001,0.7377,Alto
RA-891,0,Topázio,8.035957575700001,0.7332,Alto
RA-1397,1,Ametista,7.8280333334,0.7302,Alto
RA-326,4,Topázio,8.832389092333335,0.73,Alto
RA-1631,6,Topázio,8.186433333333333,0.7282,Alto
