RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_composite,faixa_risco_composite
RA-1028,Aluno-1028,1,Ametista,7.1404338602,0.839,Alto
RA-873,Aluno-873,1,Ametista,7.61095,0.8274,Alto
RA-1554,Aluno-1554,3,Agata,6.941692592633334,0.8243,Alto
RA-1596,Aluno-1596,4,Ametista,7.261016666766667,0.8239,Alto
RA-1199,Aluno-1199,5,Ametista,7.614235714266666,0.8174,Alto
RA-767,Aluno-767,1,Topázio,8.131890476200002,0.8113,Alto
RA-146,Aluno-146,5,Topázio,8.134554885333333,0.8037,Alto
RA-397,Aluno-397,4,Agata,6.807291921866668,0.803,Alto
RA-1401,Aluno-1401,1,Topázio,8.1188277778,0.801,Alto
RA-1579,Aluno-1579,4,Ametista,7.894385710733333,0.7999,Alto
RA-274,Aluno-274,5,Topázio,8.651029629666667,0.7917,Alto
RA-180,Aluno-180,5,Topázio,8.801463636333335,0.7898,Alto
RA-944,Aluno-944,0,Ametista,7.8262,0.7842,Alto
RA-1283,Aluno-1283,0,Topázio,8.3033538462,0.7822,Alto
RA-1609,Aluno-1609,5,Ametista,7.577233333233334,0.78,Alto
RA-1443,Aluno-1443,1,Agata,6.921633333300001,0.7753,Alto
RA-1587,Aluno-1587,4,Ametista,7.34055,0.7751,Alto
RA-116,Aluno-116,5,Agata,6.337470707133334,0.7748,Alto
RA-239,Aluno-239,4,Agata,6.782180868800001,0.7739,Alto
RA-1448,Aluno-1448,1,Ametista,7.466126406900001,0.772,Alto
RA-152,Aluno-152,5,Agata,6.5837938596,0.7688,Alto
RA-1612,Aluno-1612,5,Ametista,7.014528571366666,0.7668,Alto
RA-1566,Aluno-1566,4,Ametista,7.759243871133334,0.7663,Alto
RA-426,Aluno-426,4,Agata,6.6430030186,0.7658,Alto
RA-249,Aluno-249,4,Agata,6.125104328999999,0.7656,Alto
RA-1413,Aluno-1413,1,Ametista,7.747564718600001,0.7647,Alto
RA-829,Aluno-829,2,Topázio,9.171825000000002,0.7645,Alto
RA-1299,Aluno-1299,0,Ametista,7.069727777800001,0.7637,Alto
RA-749,Aluno-749,0,Topázio,8.3373184211,0.7602,Alto
RA-750,Aluno-750,1,Quartzo,4.542230369,0.7599,Alto
RA-1542,Aluno-1542,3,Agata,6.0886079922,0.7596,Alto
RA-1438,Aluno-1438,1,Topázio,8.176825000000001,0.7585,Alto
RA-131,Aluno-131,5,Ametista,7.263155555633333,0.7572,Alto
RA-688,Aluno-688,2,Topázio,8.986533333300002,0.7545,Alto
RA-1075,Aluno-1075,2,Agata,6.8100812324,0.7541,Alto
RA-76,Aluno-76,7,Topázio,8.152033333333334,0.7535,Alto
RA-277,Aluno-277,7,Topázio,8.0689833334,0.7527,Alto
