feature,mean_abs_shap
Idade,0.3805098823049262
Defasagem_sq,0.3739509455906007
IPV,0.23875578822434196
IPV_z_faseAno,0.15477626517062643
Defasagem,0.07193408120857923
gap_Por_Ing,0.07007782001217833
IPV_decile_fase,0.061317608447017925
IPS_minus_fase_mean,0.04794914205711545
inde_z_fase,0.04255853132557618
INDE,0.04215104272807374
IPV_minus_fase_mean,0.03961399681451181
IEG,0.03563959561972852
Gênero_Feminino,0.03539870130896309
gap_Mat_Ing,0.02212346756223435
pedra_lag1_ord,0.0220489386559355
ratio_IPV_IEG,0.02149321186183539
ratio_Por_Ing,0.020958466083142377
INDE_decile_fase,0.020818809939223335
Ano ingresso,0.019200627372819933
INDE_minus_fase_mean,0.017830290082365
Idade_sq,0.017619143421533888
IAA_decile_fase,0.016368580130248896
IEG_z_faseAno,0.014402071035373243
ratio_IDA_INDE,0.014022693115646228
IEG_decile_fase,0.013827148513670007
gap_IAA_IEG,0.011799761764086134
Gênero_Masculino,0.01135203196120343
Fase,0.011299782632178578
ratio_Mat_Por,0.010780654156975643
Instituição de ensino_Publica,0.010434008829728938
Instituição de ensino_Privada_Bolsa,0.00949092874880631
IAA_z_faseAno,0.009324745673325837
ratio_IPS_IAA,0.008700085481934444
IDA,0.008245001387874634
pedra_lag2_ord,0.007208077381366678
gap_IPS_IDA,0.00665672661264897
Mat,0.005682940345895593
Por,0.0053077605291730135
IAA,0.004625255006746021
IAA_minus_fase_mean,0.004472245305095948
IDA_minus_fase_mean,0.004191140777704402
IEG_minus_fase_mean,0.004128288782538
IDA_decile_fase,0.0038370919966661085
prev_IAN,0.003387226852530536
age_fase_excess,0.0033315178339438007
gap_Mat_Por,0.0030614318722189215
prev_INDE,0.002206749911251368
IDA_was_missing,0.0
IPS_was_missing,0.0
IEG_was_missing,0.0
IAA_was_missing,0.0
INDE_was_missing,0.0
trend_window,0.0
delta_IPV,0.0
slope_Defasagem,0.0
slope_IPV,0.0
slope_IDA,0.0
slope_IPS,0.0
slope_IAA,0.0
slope_INDE,0.0
Pedra_ord,0.0
FaseIdeal_num,0.0
IDA_z_faseAno,0.0
IPS_decile_fase,0.0
slope_IEG,0.0
Ing_was_missing,0.0
Mat_was_missing,0.0
Por_was_missing,0.0
Ing,0.0
IPS,0.0
IAN,0.0
Instituição de ensino_Privada,0.0
Instituição de ensino_Outro,0.0
Instituição de ensino_Concluido,0.0
delta_INDE,0.0
is_new_student,0.0
years_in_program,0.0
pedra_delta_2,0.0
pedra_delta_1,0.0
pedra_slope,0.0
pedra_history_depth,0.0
prev_IAA,0.0
Pedra_was_missing,0.0
IPP_was_missing,0.0
IAN_was_missing,0.0
IPV_was_missing,0.0
delta_IAA,0.0
IPS_z_faseAno,0.0
prev_IPS,0.0
prev_IEG,0.0
roll2_IPS_std,0.0
roll2_IPV_mean,0.0
roll2_Ing_std,0.0
roll2_Ing_mean,0.0
roll2_Por_std,0.0
roll2_Por_mean,0.0
roll2_Mat_std,0.0
roll2_Mat_mean,0.0
roll2_IDA_std,0.0
roll2_IDA_mean,0.0
roll2_IPS_mean,0.0
roll2_IAN_mean,0.0
roll2_IEG_std,0.0
roll2_IEG_mean,0.0
roll2_IAA_std,0.0
roll2_IAA_mean,0.0
roll2_INDE_std,0.0
roll2_INDE_mean,0.0
had_prev_year,0.0
delta_IPP,0.0
delta_IAN,0.0
roll2_IPV_std,0.0
roll2_IAN_std,0.0
delta_IEG,0.0
delta_IDA,0.0
delta_IPS,0.0
INDE_z_faseAno,0.0
IPV_log1p,0.0
IPV_sq,0.0
Idade_log1p,0.0
prev_IDA,0.0
Defasagem_log1p,0.0
Nº Av,0.0
ratio_IPV_IEG_was_zero,0.0
ratio_Por_Ing_was_zero,0.0
roll2_IPP_std,0.0
ratio_Mat_Por_was_zero,0.0
prev_Mat,0.0
ratio_IPS_IAA_was_zero,0.0
delta_Mat,0.0
prev_Por,0.0
delta_Por,0.0
prev_Ing,0.0
delta_Ing,0.0
prev_IPV,0.0
ratio_IDA_INDE_was_zero,0.0
