feature,mean_abs_shap
Idade,0.34095144
IPV,0.27441445
Defasagem,0.25392243
gap_Por_Ing,0.1720106
age_fase_excess,0.14896217
gap_IAA_IEG,0.14258166
gap_Mat_Por,0.13272949
Ing,0.08774066
INDE_decile_fase,0.085902065
IDA_z_faseAno,0.08034774
IAA_decile_fase,0.057083182
gap_Mat_Ing,0.054552313
IAA,0.053759936
INDE,0.0507557
IPS_z_faseAno,0.04839633
Ano ingresso,0.04301924
inde_z_fase,0.039549854
IEG,0.032095987
IAA_z_faseAno,0.031247348
prev_IPV,0.029342933
IAN,0.027544243
IPV_z_faseAno,0.022443904
IPV_decile_fase,0.021122059
IDA_decile_fase,0.020461757
gap_IPS_IDA,0.018911138
Gênero_Feminino,0.018146848
Mat,0.016519712
IDA,0.01602331
INDE_z_faseAno,0.014495651
IEG_decile_fase,0.0117398435
FaseIdeal_num,0.011538016
Por,0.011312966
prev_IAA,0.0104969675
IPS_decile_fase,0.0103799235
IEG_z_faseAno,0.008337061
prev_Mat,0.0076071243
Fase,0.0067800013
prev_IDA,0.00666176
prev_Ing,0.0065140077
prev_INDE,0.006007804
prev_Por,0.004738586
roll2_Mat_mean,0.004294413
Nº Av,0.0038275814
slope_IAA,0.0
Instituição de ensino_Privada,0.0
Instituição de ensino_Privada_Bolsa,0.0
slope_INDE,0.0
slope_IPV,0.0
slope_IEG,0.0
slope_IPS,0.0
Gênero_Masculino,0.0
is_new_student,0.0
years_in_program,0.0
Pedra_was_missing,0.0
IPP_was_missing,0.0
IAN_was_missing,0.0
IPV_was_missing,0.0
Ing_was_missing,0.0
Instituição de ensino_Outro,0.0
Mat_was_missing,0.0
IDA_was_missing,0.0
IPS_was_missing,0.0
IEG_was_missing,0.0
IAA_was_missing,0.0
INDE_was_missing,0.0
trend_window,0.0
slope_Defasagem,0.0
Instituição de ensino_Concluido,0.0
slope_IDA,0.0
Por_was_missing,0.0
roll2_Ing_std,0.0
roll2_IPP_std,0.0
had_prev_year,0.0
delta_IAN,0.0
prev_IAN,0.0
delta_IPV,0.0
delta_Ing,0.0
delta_Por,0.0
delta_Mat,0.0
delta_IDA,0.0
delta_IPS,0.0
prev_IPS,0.0
delta_IEG,0.0
prev_IEG,0.0
delta_IAA,0.0
delta_INDE,0.0
IPS,0.0
Pedra_ord,0.0
delta_IPP,0.0
roll2_INDE_mean,0.0
roll2_IAN_std,0.0
roll2_INDE_std,0.0
roll2_IAN_mean,0.0
roll2_IPV_std,0.0
roll2_IPV_mean,0.0
roll2_Ing_mean,0.0
roll2_Por_std,0.0
roll2_Por_mean,0.0
roll2_Mat_std,0.0
roll2_IDA_std,0.0
roll2_IDA_mean,0.0
roll2_IPS_std,0.0
roll2_IPS_mean,0.0
roll2_IEG_std,0.0
roll2_IEG_mean,0.0
roll2_IAA_std,0.0
roll2_IAA_mean,0.0
Instituição de ensino_Publica,0.0
